RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,page,team_abbr,player_name,Effective_FG%,TS%
1,Audi CrooksISU,C,21,28.6,26.6,10.9,16.1,67.6,0.0,0.3,14.3,4.8,6.8,70.4,7.5,1.7,0.4,0.9,2.3,1,ISU,Audi Crooks,67.70186335403726,69.66268594175571
2,Hannah HidalgoND,G,21,35.6,24.8,9.2,19.5,47.4,1.1,4.8,22.8,5.2,6.4,81.3,5.8,5.5,5.7,0.3,3.2,1,ND,Hannah Hidalgo,50.0,55.56551353289121
3,Mikayla BlakesVAN,G,21,33.0,24.7,8.5,18.9,45.1,2.3,7.4,31.6,5.3,6.3,83.5,3.8,4.5,3.1,0.2,2.6,1,VAN,Mikayla Blakes,51.05820105820107,56.98597268364711
4,Mia NicastroWIU,F,20,34.1,23.6,8.7,17.0,51.2,0.8,2.0,37.5,5.5,6.0,90.8,10.2,1.1,1.4,0.7,1.8,1,WIU,Mia Nicastro,53.529411764705884,60.08146639511202
5,Shay CiezkiIU,G,22,35.8,23.1,8.4,15.7,53.6,2.6,5.6,46.0,3.7,4.1,91.1,3.1,2.6,1.5,0.2,3.8,1,IU,Shay Ciezki,61.78343949044587,65.98491773308959
6,Maggie DooganRICH,F,21,35.0,22.7,8.0,15.5,51.7,3.0,6.9,42.8,3.8,4.4,85.9,8.4,4.5,1.1,1.2,4.0,1,RICH,Maggie Doogan,61.29032258064516,65.09520532232163
7,Hannah WickstromUCR,G,17,32.6,22.6,8.1,16.6,48.6,1.5,4.4,33.3,5.0,5.9,84.2,7.0,2.6,2.8,0.4,2.8,1,UCR,Hannah Wickstrom,53.31325301204819,58.86643050635549
8,Liv McGillFLA,G,21,36.6,22.6,8.5,20.0,42.6,1.7,6.6,25.4,3.9,5.0,76.4,5.8,5.9,2.8,0.4,5.2,1,FLA,Liv McGill,46.75,50.9009009009009
9,Naomi WhiteNAU,G,22,37.9,22.5,7.9,18.7,42.3,3.2,7.9,40.8,3.5,4.6,75.2,5.0,2.2,2.1,0.4,3.6,1,NAU,Naomi White,50.80213903743316,54.28488708743485
10,Jaloni CambridgeOSU,G,22,30.9,22.2,8.6,17.0,50.7,1.3,4.0,32.2,3.7,4.6,81.2,5.5,4.4,2.2,0.3,3.0,1,OSU,Jaloni Cambridge,54.41176470588235,58.34735071488646
11,Grace SullivanNU,F,20,33.6,21.8,9.6,17.5,54.9,0.0,0.1,0.0,2.6,3.4,75.0,6.7,1.3,1.3,0.9,2.1,1,NU,Grace Sullivan,54.85714285714286,57.380501158138564
12,Adrianna SmithME,F,21,35.2,21.6,8.8,18.6,47.1,0.8,2.2,37.0,3.2,4.2,76.4,9.4,4.6,1.6,1.0,3.6,1,ME,Adrianna Smith,49.46236559139785,52.81690140845071
13,Brooklyn MeyerSDST,F,22,28.9,21.4,8.4,13.3,63.1,0.0,0.1,0.0,4.5,6.1,74.6,7.3,2.8,0.9,1.9,2.0,1,SDST,Brooklyn Meyer,63.1578947368421,66.94194194194193
14,Halli PoockMUR,G,21,33.0,20.4,6.5,16.4,39.5,2.0,7.0,29.5,5.4,6.6,82.6,2.6,4.0,0.9,0.1,2.9,1,MUR,Halli Poock,45.73170731707317,52.8387898881061
15,Taliah ScottBAY,G,21,30.3,20.3,6.0,14.9,39.9,2.5,7.6,33.3,5.9,6.5,89.8,2.9,3.0,1.2,0.1,3.0,1,BAY,Taliah Scott,48.65771812080536,57.1509009009009
16,Coryn WattsDEN,G,20,35.6,20.3,7.6,17.9,42.5,2.9,8.1,35.2,2.2,3.3,67.7,3.2,2.7,1.8,0.1,3.3,1,DEN,Coryn Watts,50.558659217877086,52.44935923935512
17,Lauren WhittakerGONZ,F,22,27.1,20.0,7.3,13.1,55.7,1.2,3.2,36.6,4.2,5.0,83.6,10.3,1.2,1.4,0.5,2.4,1,GONZ,Lauren Whittaker,60.30534351145038,65.359477124183
17,Joyce EdwardsSC,F,23,30.3,20.0,8.2,13.8,59.3,0.1,0.3,28.6,3.6,5.3,67.2,6.2,2.4,2.0,1.3,2.8,1,SC,Joyce Edwards,59.78260869565217,61.98859409868584
19,Cotie McMahonMISS,F,21,29.6,19.4,7.2,14.9,48.4,1.0,3.7,27.3,4.0,6.1,65.6,5.9,2.7,1.2,0.6,2.5,1,MISS,Cotie McMahon,51.67785234899329,55.16378525932666
